t,train_loss,train_acc,train_epoch,lr,data_time,it_time,test_loss,test_acc
100,0.7512226,0.76169056,2.0408163265306123,0.09987625,0.2818598747253418,33.59791040420532,,
200,0.51539207,0.8236124,4.081632653061225,0.09975125000000001,0.07930684089660645,29.517152070999146,,
300,0.47801784,0.8362339,6.122448979591836,0.09962625000000001,0.07581424713134766,29.16123628616333,,
400,0.4571782,0.84311306,8.16326530612245,0.09950125,0.07599854469299316,29.109482526779175,,
500,0.44173598,0.849169,10.204081632653061,0.09937625,0.0755620002746582,29.11707067489624,,
600,0.4299976,0.85157967,12.244897959183673,0.09925125000000001,0.07558465003967285,29.125250101089478,,
700,0.42009708,0.85602856,14.285714285714286,0.09912625000000001,0.0759897232055664,29.126912593841553,,
800,0.4169185,0.8567341,16.3265306122449,0.09900125,0.07658934593200684,29.138821125030518,,
900,0.40638977,0.85984045,18.367346938775512,0.09887625,0.07588458061218262,29.127329349517822,,
1000,0.40606236,0.8594681,20.408163265306122,0.09875125000000001,0.07582712173461914,33.426483392715454,0.39657384,0.8642
1100,0.39493266,0.86402476,22.448979591836736,0.09862625000000001,0.07561302185058594,29.11942219734192,,
1200,0.39274052,0.8650047,24.489795918367346,0.09850125,0.07635188102722168,29.419793367385864,,
1300,0.3929863,0.8644363,26.53061224489796,0.09837625,0.07957577705383301,29.68909215927124,,
1400,0.3864174,0.86680776,28.571428571428573,0.09825125000000001,0.07931041717529297,29.77726125717163,,
1500,0.38432366,0.86742514,30.612244897959183,0.09812625000000001,0.07767248153686523,29.546632528305054,,
1600,0.3815455,0.8681209,32.6530612244898,0.09800125,0.07785463333129883,29.745947122573853,,
1700,0.37894613,0.86963975,34.69387755102041,0.09787625,0.08017373085021973,29.972944974899292,,
1800,0.37387878,0.8713155,36.734693877551024,0.09775125000000001,0.0786290168762207,29.768436193466187,,
1900,0.37479964,0.8708843,38.775510204081634,0.09762625000000001,0.0749967098236084,29.155088186264038,,
2000,0.37156075,0.8707471,40.816326530612244,0.09750125,0.07521557807922363,32.06071853637695,0.3713189,0.8717
2100,0.36666417,0.8733537,42.857142857142854,0.09737625,0.07639408111572266,29.343982219696045,,
2200,0.36536226,0.8746374,44.89795918367347,0.09725125000000001,0.07518815994262695,29.12876582145691,,
2300,0.36552393,0.87403965,46.93877551020408,0.09712625000000001,0.07637906074523926,29.12291955947876,,
2400,0.3636747,0.8749608,48.97959183673469,0.09700125,0.07639479637145996,29.137390851974487,,
2500,0.3627907,0.8755595,51.02040816326531,0.09687625,0.07500219345092773,29.07186222076416,,
2600,0.3584652,0.8761465,53.06122448979592,0.09675125000000001,0.07488608360290527,29.12723684310913,,
2700,0.35947204,0.87527436,55.10204081632653,0.09662625000000001,0.07508683204650879,29.125313758850098,,
2800,0.35544166,0.87731266,57.142857142857146,0.09650125000000001,0.0750575065612793,29.12675452232361,,
2900,0.35506946,0.87815535,59.183673469387756,0.09637625,0.07629632949829102,29.122975826263428,,
3000,0.35829392,0.87592113,61.224489795918366,0.09625125000000001,0.07646489143371582,32.07247877120972,0.36343622,0.8729
3100,0.35351646,0.8777438,63.265306122448976,0.09612625000000001,0.07605671882629395,29.215094804763794,,
3200,0.35384056,0.8781358,65.3061224489796,0.09600125000000001,0.07476925849914551,28.995311975479126,,
3300,0.35153657,0.87872374,67.34693877551021,0.09587625,0.07425189018249512,28.96610116958618,,
3400,0.35174558,0.87822396,69.38775510204081,0.09575125000000001,0.07405877113342285,28.970970392227173,,
3500,0.3524944,0.87889034,71.42857142857143,0.09562625000000001,0.07439804077148438,28.966801404953003,,
3600,0.34900948,0.8794489,73.46938775510205,0.09550125000000001,0.07414937019348145,28.963804960250854,,
3700,0.34727928,0.8794881,75.51020408163265,0.09537625,0.07547402381896973,28.962791442871094,,
3800,0.34622532,0.87982124,77.55102040816327,0.09525125000000001,0.07375717163085938,28.962646484375,,
3900,0.349114,0.8793901,79.59183673469387,0.09512625000000001,0.07404232025146484,28.966331720352173,,
4000,0.34420243,0.8822123,81.63265306122449,0.09500125000000001,0.07437920570373535,31.887399911880493,0.35799488,0.8754
4100,0.34534076,0.8809972,83.6734693877551,0.09487625,0.07473111152648926,28.986124277114868,,
4200,0.3464526,0.8809384,85.71428571428571,0.09475125000000001,0.07462739944458008,28.966607093811035,,
4300,0.3417853,0.8822809,87.75510204081633,0.09462625000000001,0.07443881034851074,28.96091604232788,,
4400,0.3446037,0.88134015,89.79591836734694,0.09450125000000001,0.07431888580322266,28.95047402381897,,
4500,0.34282124,0.8824181,91.83673469387755,0.09437625,0.07426285743713379,28.97909164428711,,
4600,0.3419533,0.88282967,93.87755102040816,0.09425125000000001,0.07450175285339355,28.97693657875061,,
4700,0.341026,0.8832706,95.91836734693878,0.09412625000000001,0.07546567916870117,28.96412420272827,,
4800,0.3409255,0.8824671,97.95918367346938,0.09400125000000001,0.07546424865722656,28.967745304107666,,
4900,0.33945692,0.8829904,100.0,0.09387625,0.07474517822265625,28.909001111984253,,
