t,train_loss,train_contrast_acc,train_epoch,lr,data_time,it_time,test_loss,test_contrast_acc
48,5.5514836,0.020019531,0.12276214833759591,0.39916839916839947,2.268021821975708,31.623364686965942,,
96,5.1732674,0.055419922,0.24552429667519182,0.7983367983367989,0.004563808441162109,11.216098070144653,,
144,4.9747434,0.088134766,0.36828644501278773,1.1975051975051982,0.0037856101989746094,11.228542804718018,,
192,4.8728447,0.115722656,0.49104859335038364,1.596673596673597,0.0038046836853027344,11.226424932479858,,
240,4.804779,0.13924153,0.6138107416879796,1.9958419958419957,0.0037403106689453125,11.231343746185303,,
288,4.783833,0.1484375,0.7365728900255755,2.395010395010394,0.003698110580444336,11.229810237884521,,
336,4.7391257,0.16870117,0.8593350383631714,2.794178794178791,0.003702878952026367,11.237586498260498,,
384,4.7171454,0.17708333,0.9820971867007673,3.193347193347186,0.0035958290100097656,11.23512053489685,,
432,4.71088,0.19004264,1.104859335038363,3.592515592515585,0.005486488342285156,12.07569169998169,,
480,4.69992,0.19401042,1.227621483375959,3.991683991683983,0.003976345062255859,11.250067472457886,,
528,4.669557,0.2006836,1.350383631713555,3.999990251223124,0.0038018226623535156,11.2444007396698,,
576,4.676233,0.20979817,1.473145780051151,3.999960364937295,0.0037889480590820312,11.240588665008545,,
624,4.6572948,0.22526042,1.5959079283887467,3.9999103390728017,0.003931999206542969,11.242492914199829,,
672,4.6358967,0.24576823,1.7186700767263428,3.9998401741334053,0.005699634552001953,11.252581357955933,,
720,4.6241612,0.25016275,1.8414322250639386,3.999749870825665,0.0043714046478271484,11.250986099243164,,
768,4.6139646,0.2577311,1.9641943734015346,3.999639430058933,0.003877401351928711,11.24439287185669,,
816,4.5988126,0.2707513,2.0869565217391304,3.9995088529453495,0.005230426788330078,11.160041809082031,,
864,4.599064,0.26529947,2.209718670076726,3.9993581407998215,0.003864765167236328,11.241244077682495,,
912,4.588979,0.28458658,2.3324808184143224,3.9991872951400196,0.0038022994995117188,11.245081901550293,,
960,4.592067,0.28841147,2.455242966751918,3.998996317686358,0.00370025634765625,11.238953590393066,,
1008,4.577307,0.2915853,2.578005115089514,3.9987852103619805,0.0043299198150634766,11.350941896438599,,
1056,4.5941224,0.28857422,2.70076726342711,3.998553975292731,0.004105329513549805,11.223856449127197,,
1104,4.578216,0.3191732,2.823529411764706,3.9983026148071463,0.003847837448120117,11.211865663528442,,
1152,4.5965767,0.29988608,2.946291560102302,3.9980311314364214,0.00385284423828125,11.211448192596436,,
1200,4.5536036,0.3198819,3.0690537084398977,3.997739527914395,0.005264759063720703,11.136651515960693,,
1248,4.5683722,0.32885742,3.1918158567774935,3.997427807177509,0.0037484169006347656,11.214473724365234,,
1296,4.575023,0.32918295,3.3145780051150897,3.997095972364785,0.0038111209869384766,11.211654424667358,,
1344,4.5640388,0.34570312,3.4373401534526855,3.9967440268178,0.0037603378295898438,11.218164443969727,,
1392,4.5629706,0.34611002,3.5601023017902813,3.9963719740806405,0.0038442611694335938,11.22568941116333,,
1440,4.546633,0.36075845,3.682864450127877,3.9959798178998738,0.003821134567260742,11.222588539123535,,
1488,4.5415154,0.35620117,3.8056265984654734,3.9955675622245073,0.004181385040283203,11.300746440887451,,
1536,4.5550303,0.35782877,3.928388746803069,3.9951352112059504,0.006380558013916016,11.535241603851318,,
1584,4.52644,0.36778215,4.051150895140665,3.9946827691979734,0.008791208267211914,11.323871612548828,,
