t,train_loss,train_contrast_acc,train_epoch,lr,data_time,it_time,test_loss,test_contrast_acc
48,4.821628,0.04720052,0.061381074168797956,0.39916839916839947,2.0000393390655518,13.909298658370972,,
96,4.5015063,0.087890625,0.12276214833759591,0.7983367983367989,0.0060977935791015625,11.216829061508179,,
144,4.290385,0.12679036,0.18414322250639387,1.1975051975051982,0.008027076721191406,11.349111318588257,,
192,4.2092786,0.14860027,0.24552429667519182,1.596673596673597,0.00780797004699707,11.343043565750122,,
240,4.1663585,0.15429688,0.3069053708439898,1.9958419958419957,0.0058612823486328125,10.607078552246094,,
288,4.157066,0.15625,0.36828644501278773,2.395010395010394,0.005257606506347656,10.604536056518555,,
336,4.124024,0.17382812,0.4296675191815857,2.794178794178791,0.005434989929199219,10.609925508499146,,
384,4.106228,0.18522136,0.49104859335038364,3.193347193347186,0.005913972854614258,10.602698564529419,,
432,4.099957,0.1850586,0.5524296675191815,3.592515592515585,0.006557941436767578,10.609750986099243,,
480,4.085241,0.17252605,0.6138107416879796,3.991683991683983,0.006151914596557617,10.609790563583374,,
528,4.0836797,0.18343098,0.6751918158567775,3.999990251223124,0.006192922592163086,10.609127521514893,,
576,4.020817,0.20963542,0.7365728900255755,3.999960364937295,0.007233858108520508,10.612015962600708,,
624,4.0306835,0.21305339,0.7979539641943734,3.9999103390728017,0.006541252136230469,10.612468719482422,,
672,4.047055,0.20507812,0.8593350383631714,3.9998401741334053,0.0064771175384521484,10.606359481811523,,
720,4.0098977,0.23144531,0.9207161125319693,3.999749870825665,0.006680488586425781,10.61365294456482,,
768,4.023163,0.21744792,0.9820971867007673,3.999639430058933,0.006258249282836914,10.61566162109375,,
816,3.9562767,0.24487434,1.0434782608695652,3.9995088529453495,0.008845090866088867,10.875916719436646,,
864,3.9982758,0.23258464,1.104859335038363,3.9993581407998215,0.0070230960845947266,10.61959719657898,,
912,4.011308,0.23551433,1.1662404092071612,3.9991872951400196,0.007790088653564453,10.616992473602295,,
960,3.9954627,0.24104817,1.227621483375959,3.998996317686358,0.00747227668762207,10.621737957000732,,
1008,3.9811184,0.25016275,1.289002557544757,3.9987852103619805,0.008331775665283203,10.623749017715454,,
1056,3.9892986,0.24625652,1.350383631713555,3.998553975292731,0.007529497146606445,10.622516393661499,,
1104,3.9743016,0.25748697,1.411764705882353,3.9983026148071463,0.006836652755737305,10.614129543304443,,
1152,3.982975,0.25358072,1.473145780051151,3.9980311314364214,0.006140232086181641,10.616476058959961,,
1200,3.9698112,0.2566732,1.5345268542199488,3.997739527914395,0.008775472640991211,10.624301671981812,,
1248,3.9569743,0.2667643,1.5959079283887467,3.997427807177509,0.006111621856689453,10.61778450012207,,
1296,3.992266,0.2537435,1.6572890025575449,3.997095972364785,0.00824880599975586,10.708086013793945,,
1344,3.9817522,0.25797525,1.7186700767263428,3.9967440268178,0.0077970027923583984,10.614890098571777,,
1392,3.9470298,0.28548178,1.7800511508951407,3.9963719740806405,0.0057108402252197266,10.584186553955078,,
1440,3.9499433,0.2631836,1.8414322250639386,3.9959798178998738,0.006121397018432617,10.59061574935913,,
1488,3.963148,0.2758789,1.9028132992327367,3.9955675622245073,0.005683183670043945,10.588374614715576,,
1536,3.9576595,0.2742513,1.9641943734015346,3.9951352112059504,0.007245063781738281,10.592405319213867,,
1584,3.8987515,0.2986111,2.0255754475703327,3.9946827691979734,0.008629798889160156,10.451656818389893,,
1632,3.933408,0.29654947,2.0869565217391304,3.994210240756665,0.006963491439819336,10.591710805892944,,
1680,3.923846,0.31038412,2.1483375959079285,3.9937176306403788,0.0063822269439697266,10.592148303985596,,
1728,3.9226577,0.30615234,2.209718670076726,3.993204943809693,0.0061244964599609375,10.59261417388916,,
1776,3.9387424,0.29785156,2.2710997442455243,3.9926721854273617,0.006609678268432617,10.590787172317505,,
1824,3.9248703,0.30566406,2.3324808184143224,3.992119360858251,0.0071544647216796875,10.587490558624268,,
1872,3.9300718,0.308431,2.39386189258312,3.991546475669301,0.00651097297668457,10.587473392486572,,
1920,3.9132426,0.32063803,2.455242966751918,3.9909535356294583,0.007311105728149414,10.587850093841553,,
1968,3.9109528,0.324056,2.516624040920716,3.9903405467096245,0.0067827701568603516,10.58193325996399,,
2016,3.9258883,0.32503256,2.578005115089514,3.9897075150825905,0.0069010257720947266,10.58722972869873,,
2064,3.9145024,0.32552084,2.639386189258312,3.9890544471229767,0.006033420562744141,10.584278106689453,,
2112,3.916889,0.33740234,2.70076726342711,3.988381349407167,0.0055849552154541016,10.579439878463745,,
2160,3.9252846,0.31673178,2.762148337595908,3.9876882287132513,0.009051084518432617,10.590170621871948,,
2208,3.88955,0.35481772,2.823529411764706,3.9869750920209506,0.007455348968505859,10.584809064865112,,
2256,3.8796062,0.3523763,2.8849104859335037,3.986241946511536,0.0069637298583984375,10.587139129638672,,
2304,3.898762,0.34602866,2.946291560102302,3.9854887995677806,0.00672149658203125,10.589045763015747,,
2352,3.8579054,0.35582012,3.0076726342710995,3.984715658773862,0.007638216018676758,10.4466392993927,,
2400,3.901124,0.34977213,3.0690537084398977,3.983922531915304,0.007161617279052734,10.586301803588867,,
2448,3.8985813,0.3445638,3.130434782608696,3.983109426978883,0.006570100784301758,10.594612836837769,,
2496,3.878092,0.35611978,3.1918158567774935,3.9822763521525566,0.007253170013427734,10.589597463607788,,
2544,3.8677227,0.37158203,3.2531969309462916,3.981423315825377,0.007250308990478516,10.58558988571167,,
2592,3.8897865,0.34195963,3.3145780051150897,3.9805503265874105,0.006020069122314453,10.58512806892395,,
2640,3.905056,0.3372396,3.3759590792838874,3.9796573932296515,0.00622248649597168,10.582528829574585,,
2688,3.9011059,0.3527018,3.4373401534526855,3.97874452474393,0.0072743892669677734,10.583261966705322,,
2736,3.9001265,0.3556315,3.498721227621483,3.977811730322818,0.006700277328491211,10.58631443977356,,
2784,3.8844159,0.37158203,3.5601023017902813,3.9768590193595466,0.006501436233520508,10.58521819114685,,
2832,3.9038258,0.34814453,3.6214833759590794,3.975886401447905,0.007712364196777344,10.646154880523682,,
2880,3.8685944,0.36669922,3.682864450127877,3.974893886382148,0.007616996765136719,10.607874631881714,,
2928,3.8948605,0.36376953,3.7442455242966752,3.9738814841568857,0.007275581359863281,10.61401891708374,,
2976,3.877628,0.3763021,3.8056265984654734,3.972849204967002,0.006944894790649414,10.608814477920532,,
3024,3.8684032,0.3761393,3.867007672634271,3.971797059207532,0.006489992141723633,10.618673086166382,,
3072,3.8589232,0.38802084,3.928388746803069,3.9707250574735764,0.006119728088378906,10.608241081237793,,
3120,3.8688056,0.37841797,3.989769820971867,3.969633210560176,0.007486104965209961,10.620100259780884,,
3168,3.854396,0.3764881,4.051150895140665,3.968521529462221,0.007708311080932617,10.476801872253418,,
3216,3.8708792,0.38183594,4.112531969309463,3.9673900253743253,0.00589299201965332,10.613263845443726,,
3264,3.8909295,0.38297525,4.173913043478261,3.9662387096907237,0.0074007511138916016,10.619352102279663,,
3312,3.8816843,0.37679037,4.235294117647059,3.965067594005154,0.007712364196777344,10.61254358291626,,
3360,3.880354,0.37646484,4.296675191815857,3.963876690110735,0.007178783416748047,10.61290717124939,,
3408,3.8699434,0.39029947,4.358056265984655,3.96266600999986,0.0070574283599853516,10.611307859420776,,
3456,3.8582885,0.39257812,4.419437340153452,3.96143556586406,0.0077207088470458984,10.616497278213501,,
3504,3.8652155,0.40039062,4.4808184143222505,3.9601853700938907,0.006622791290283203,10.614214897155762,,
3552,3.8463356,0.421875,4.542199488491049,3.958915435278814,0.0057218074798583984,10.609438419342041,,
3600,3.858162,0.41341147,4.603580562659847,3.957625774207063,0.008153438568115234,10.619371891021729,,
3648,3.8569806,0.40966797,4.664961636828645,3.9563163998655035,0.007301807403564453,10.615988492965698,,
3696,3.8809173,0.39518228,4.726342710997442,3.9549873254395274,0.007206916809082031,10.620856523513794,,
3744,3.8738244,0.40413412,4.78772378516624,3.953638564312896,0.00717926025390625,10.617280721664429,,
3792,3.84641,0.4361979,4.849104859335038,3.9522701300676166,0.008152008056640625,10.615430355072021,,
3840,3.8346586,0.42708334,4.910485933503836,3.95088203648381,0.00830078125,10.61792778968811,,
3888,3.8465383,0.42529297,4.971867007672635,3.9494742975395627,0.00675201416015625,10.614190816879272,,
3936,3.8145008,0.4209656,5.033248081841432,3.94804692741079,0.009356498718261719,10.57512617111206,,
3984,3.8696306,0.4132487,5.09462915601023,3.9465999404710894,0.0062220096588134766,10.589359283447266,,
4032,3.8467083,0.4375,5.156010230179028,3.9451333512916094,0.007472038269042969,10.580623626708984,,
4080,3.8660934,0.40901694,5.217391304347826,3.9436471746408825,0.007390022277832031,10.580864191055298,,
4128,3.8482077,0.42236328,5.278772378516624,3.942141425484695,0.0061647891998291016,10.58361530303955,,
4176,3.8539896,0.433431,5.340153452685422,3.940616118985924,0.006675243377685547,10.582017183303833,,
4224,3.858549,0.43424478,5.40153452685422,3.9390712705043835,0.007291316986083984,10.59023904800415,,
4272,3.8468482,0.41764322,5.462915601023018,3.937506895596687,0.00687098503112793,10.589174270629883,,
4320,3.8378394,0.43310547,5.524296675191816,3.93592301001607,0.0053310394287109375,10.583614587783813,,
4368,3.8319943,0.42447916,5.585677749360614,3.934319629712239,0.008203268051147461,10.584936141967773,,
4416,3.8445652,0.43684897,5.647058823529412,3.9326967708312206,0.005655050277709961,10.585444688796997,,
4464,3.840182,0.43489584,5.708439897698209,3.931054449715184,0.005677461624145508,10.587113618850708,,
4512,3.8561742,0.4345703,5.7698209718670075,3.929392682902284,0.0057451725006103516,10.585622310638428,,
4560,3.8449223,0.42789713,5.831202046035806,3.927711487126493,0.005565166473388672,10.58849287033081,,
4608,3.8546371,0.43326822,5.892583120204604,3.9260108793174378,0.007076263427734375,10.594693422317505,,
4656,3.8116636,0.45035806,5.953964194373402,3.9242908766002165,0.005860328674316406,10.594106197357178,,
4704,3.8060942,0.44328704,6.015345268542199,3.9225514962952426,0.008176326751708984,10.450443029403687,,
4752,3.8353093,0.44807944,6.076726342710997,3.9207927559180504,0.007411956787109375,10.601101636886597,,
4800,3.837906,0.4436849,6.138107416879795,3.9190146731791393,0.0071942806243896484,17.899332284927368,3.7545838,0.41271034
4848,3.8583686,0.4283854,6.1994884910485935,3.9172172659837785,0.007035017013549805,10.594218015670776,,
4896,3.8480685,0.44514975,6.260869565217392,3.915400552431842,0.006905317306518555,10.582733631134033,,
4944,3.8525255,0.45117188,6.32225063938619,3.913564550817616,0.00815725326538086,10.587600946426392,,
4992,3.8577545,0.44482422,6.383631713554987,3.9117092796296156,0.0062999725341796875,10.58585810661316,,
5040,3.8204467,0.4597982,6.445012787723785,3.9098347575504033,0.005835294723510742,10.588748455047607,,
5088,3.8301766,0.4544271,6.506393861892583,3.907941003456391,0.006906032562255859,10.593120574951172,,
5136,3.8225772,0.45670572,6.567774936061381,3.9060280364176636,0.0068590641021728516,10.587992906570435,,
5184,3.8274062,0.45621744,6.629156010230179,3.9040958756977764,0.007135152816772461,10.585767269134521,,
5232,3.8021533,0.48079428,6.690537084398977,3.9021445407535684,0.00748896598815918,10.595642566680908,,
5280,3.8393793,0.45003256,6.751918158567775,3.90017405123496,0.007934093475341797,10.59659481048584,,
5328,3.8266842,0.4609375,6.813299232736573,3.898184426984758,0.006612062454223633,10.594969749450684,,
