t,train_loss,train_acc,train_epoch,lr,data_time,it_time,test_loss,test_acc
100,0.7604771,0.75626177,2.0408163265306123,0.09987625,0.2901604175567627,34.873135805130005,,
200,0.52499497,0.82085884,4.081632653061225,0.09975125000000001,0.07502961158752441,31.14020299911499,,
300,0.4874646,0.832765,6.122448979591836,0.09962625000000001,0.07453513145446777,30.87452459335327,,
400,0.4675973,0.83876216,8.16326530612245,0.09950125,0.07555270195007324,30.911940336227417,,
500,0.45044065,0.8458667,10.204081632653061,0.09937625,0.07459020614624023,30.89306139945984,,
600,0.44011098,0.84859085,12.244897959183673,0.09925125000000001,0.07425594329833984,30.896072387695312,,
700,0.43016607,0.8516188,14.285714285714286,0.09912625000000001,0.07448315620422363,30.892356395721436,,
800,0.4232645,0.8534121,16.3265306122449,0.09900125,0.07465672492980957,30.8921856880188,,
900,0.41550073,0.8562539,18.367346938775512,0.09887625,0.07469367980957031,30.901708364486694,,
1000,0.40975335,0.85836077,20.408163265306122,0.09875125000000001,0.0745704174041748,35.333853244781494,0.4073944,0.8585
1100,0.407745,0.8589487,22.448979591836736,0.09862625000000001,0.07474350929260254,30.890122175216675,,
1200,0.400897,0.8609184,24.489795918367346,0.09850125,0.07447171211242676,30.90624165534973,,
1300,0.3976203,0.8620649,26.53061224489796,0.09837625,0.07521343231201172,30.89811110496521,,
1400,0.39440778,0.86337805,28.571428571428573,0.09825125000000001,0.0741720199584961,30.978332996368408,,
1500,0.392019,0.86437756,30.612244897959183,0.09812625000000001,0.07363343238830566,30.74417495727539,,
1600,0.38901845,0.86595523,32.6530612244898,0.09800125,0.07357168197631836,30.744136333465576,,
1700,0.38645613,0.8664452,34.69387755102041,0.09787625,0.07384347915649414,30.74634623527527,,
1800,0.3830124,0.86723894,36.734693877551024,0.09775125000000001,0.07355761528015137,30.745150804519653,,
1900,0.38231224,0.86718994,38.775510204081634,0.09762625000000001,0.07387709617614746,30.745718955993652,,
2000,0.37879524,0.86977696,40.816326530612244,0.09750125,0.07439064979553223,33.85053467750549,0.38592094,0.8667
2100,0.37622058,0.8699142,42.857142857142854,0.09737625,0.07535028457641602,30.747678756713867,,
2200,0.37561005,0.86983573,44.89795918367347,0.09725125000000001,0.07435393333435059,30.749323844909668,,
2300,0.3737598,0.8709333,46.93877551020408,0.09712625000000001,0.0749969482421875,30.748271226882935,,
2400,0.37128147,0.871972,48.97959183673469,0.09700125,0.07412838935852051,30.747925758361816,,
2500,0.37123504,0.8717901,51.02040816326531,0.09687625,0.07477879524230957,30.69425082206726,,
2600,0.3697794,0.87139386,53.06122448979592,0.09675125000000001,0.07515764236450195,30.746694803237915,,
2700,0.36692283,0.87249136,55.10204081632653,0.09662625000000001,0.07501029968261719,30.745311975479126,,
2800,0.36461937,0.87296176,57.142857142857146,0.09650125000000001,0.07482504844665527,30.743833541870117,,
2900,0.364296,0.87443167,59.183673469387756,0.09637625,0.07482290267944336,30.746737003326416,,
3000,0.3637754,0.8737359,61.224489795918366,0.09625125000000001,0.07518672943115234,33.83986711502075,0.3752297,0.8686
3100,0.3624291,0.87452966,63.265306122448976,0.09612625000000001,0.0740199089050293,30.74727988243103,,
3200,0.35860902,0.87597996,65.3061224489796,0.09600125000000001,0.07391238212585449,30.746965885162354,,
3300,0.3628323,0.87339294,67.34693877551021,0.09587625,0.07406854629516602,30.749145030975342,,
3400,0.36037046,0.87558794,69.38775510204081,0.09575125000000001,0.07419252395629883,30.744788885116577,,
3500,0.35386306,0.87755764,71.42857142857143,0.09562625000000001,0.07394528388977051,30.74393892288208,,
3600,0.3566234,0.8768815,73.46938775510205,0.09550125000000001,0.07392692565917969,30.745502471923828,,
3700,0.35858935,0.87565655,75.51020408163265,0.09537625,0.07419300079345703,30.74745273590088,,
3800,0.35648772,0.87672466,77.55102040816327,0.09525125000000001,0.07370972633361816,30.7498517036438,,
3900,0.35299188,0.8767443,79.59183673469387,0.09512625000000001,0.0740816593170166,30.75051498413086,,
4000,0.3549202,0.8773518,81.63265306122449,0.09500125000000001,0.07411623001098633,33.84750247001648,0.36921632,0.8695
4100,0.35412395,0.87714607,83.6734693877551,0.09487625,0.07429265975952148,30.74856948852539,,
4200,0.3538038,0.87744004,85.71428571428571,0.09475125000000001,0.07445454597473145,30.750246047973633,,
4300,0.351777,0.8780476,87.75510204081633,0.09462625000000001,0.07447600364685059,30.74975609779358,,
4400,0.35136908,0.8782142,89.79591836734694,0.09450125000000001,0.07400846481323242,30.751659631729126,,
4500,0.35289937,0.87822396,91.83673469387755,0.09437625,0.07378649711608887,30.75033402442932,,
4600,0.34939194,0.87832195,93.87755102040816,0.09425125000000001,0.0738532543182373,30.74870014190674,,
4700,0.34871256,0.8795273,95.91836734693878,0.09412625000000001,0.07490324974060059,30.744590282440186,,
4800,0.3490434,0.87874335,97.95918367346938,0.09400125000000001,0.07516765594482422,30.75489044189453,,
4900,0.34742218,0.8791228,100.0,0.09387625,0.07456541061401367,30.696268558502197,,
5000,0.3480357,0.8790667,102.04081632653062,0.09375125000000001,0.0738072395324707,33.85242819786072,0.3661645,0.8714
5100,0.3477444,0.8794489,104.08163265306122,0.09362625000000001,0.07469582557678223,30.748501300811768,,
5200,0.34667942,0.88057584,106.12244897959184,0.09350125000000001,0.07460141181945801,30.7491397857666,,
5300,0.34615555,0.88034064,108.16326530612245,0.09337625000000001,0.07525062561035156,30.751461267471313,,
5400,0.34517905,0.8812324,110.20408163265306,0.09325125000000001,0.07387995719909668,30.745585918426514,,
5500,0.34580928,0.8806738,112.24489795918367,0.09312625000000001,0.07430338859558105,30.752145528793335,,
5600,0.34444228,0.8807424,114.28571428571429,0.09300125000000001,0.07532501220703125,30.749999523162842,,
5700,0.3445998,0.880615,116.3265306122449,0.09287625000000001,0.07404255867004395,30.749696254730225,,
5800,0.34387806,0.88131076,118.36734693877551,0.09275125000000001,0.07418632507324219,30.74563717842102,,
5900,0.34400338,0.8806934,120.40816326530613,0.09262625000000001,0.07404279708862305,30.747363805770874,,
6000,0.34559023,0.88105595,122.44897959183673,0.09250125000000001,0.07384610176086426,33.84916305541992,0.36378425,0.8714
6100,0.34216774,0.8811344,124.48979591836735,0.09237625000000001,0.0743715763092041,30.74742841720581,,
6200,0.34327656,0.8803504,126.53061224489795,0.09225125,0.07413339614868164,30.74523687362671,,
6300,0.34077042,0.88260424,128.57142857142858,0.09212625,0.07398152351379395,30.745818614959717,,
6400,0.34273,0.88138914,130.6122448979592,0.09200125,0.0737762451171875,30.74536156654358,,
6500,0.34130025,0.8821633,132.6530612244898,0.09187625,0.07432365417480469,30.74306321144104,,
6600,0.34202933,0.88235927,134.69387755102042,0.09175125,0.07388687133789062,30.748191118240356,,
6700,0.3402353,0.88171256,136.73469387755102,0.09162625,0.07387423515319824,30.741710901260376,,
6800,0.34065372,0.8824279,138.77551020408163,0.09150125,0.07423806190490723,30.743902683258057,,
6900,0.33966178,0.8824377,140.81632653061226,0.09137625,0.07557296752929688,30.746955633163452,,
7000,0.34114772,0.88183993,142.85714285714286,0.09125125,0.07483601570129395,33.844812870025635,0.3612006,0.8727
7100,0.33884856,0.8817517,144.89795918367346,0.09112625,0.0741415023803711,30.748101711273193,,
7200,0.33937648,0.88245726,146.9387755102041,0.09100125,0.07568359375,30.7490394115448,,
7300,0.3403762,0.8810854,148.9795918367347,0.09087625,0.07414507865905762,30.75033164024353,,
7400,0.34002483,0.88246036,151.0204081632653,0.09075125,0.07437396049499512,30.697233200073242,,
7500,0.33990303,0.8831824,153.0612244897959,0.09062625,0.07425427436828613,30.747533321380615,,
