t,train_loss,train_contrast_acc,train_epoch,lr,data_time,it_time,test_loss,test_contrast_acc
48,6.236019,0.026448568,0.12307692307692308,0.39916839916839947,2.3270304203033447,38.68911790847778,,
96,6.3185997,0.06388346,0.24615384615384617,0.7983367983367989,0.010199546813964844,11.377806663513184,,
144,5.6663322,0.087890625,0.36923076923076925,1.1975051975051982,0.010580301284790039,11.459735870361328,,
192,5.648831,0.10921224,0.49230769230769234,1.596673596673597,0.01046609878540039,11.436432361602783,,
240,6.2239304,0.1324056,0.6153846153846154,1.9958419958419957,0.00995945930480957,11.408439874649048,,
288,6.321171,0.14257812,0.7384615384615385,2.395010395010394,0.010768413543701172,11.496103286743164,,
336,6.5681825,0.14290364,0.8615384615384616,2.794178794178791,0.01019430160522461,11.323071956634521,,
384,6.3323135,0.1595866,0.9846153846153847,3.193347193347186,0.01071929931640625,11.389771223068237,,
432,6.465294,0.17032878,1.1076923076923078,3.592515592515585,0.011873960494995117,11.38391399383545,,
480,6.739836,0.17504883,1.2307692307692308,3.991683991683983,0.010296106338500977,11.382412433624268,,
528,6.8950086,0.18530273,1.353846153846154,3.999990251223124,0.010279417037963867,11.382508993148804,,
576,7.093716,0.19018555,1.476923076923077,3.999960364937295,0.010602712631225586,11.382652044296265,,
624,6.962192,0.20597331,1.6,3.9999103390728017,0.010285377502441406,11.399720668792725,,
672,7.2391167,0.21785481,1.7230769230769232,3.9998401741334053,0.010338068008422852,11.38368821144104,,
720,7.1064076,0.23087566,1.8461538461538463,3.999749870825665,0.011020183563232422,11.386480569839478,,
768,7.125187,0.23030598,1.9692307692307693,3.999639430058933,0.010476112365722656,11.400887966156006,,
816,7.237025,0.2512207,2.0923076923076924,3.9995088529453495,0.011426448822021484,11.394840002059937,,
864,7.2232966,0.23795573,2.2153846153846155,3.9993581407998215,0.010823488235473633,11.396030187606812,,
912,7.3288007,0.26082358,2.3384615384615386,3.9991872951400196,0.009710073471069336,11.389795064926147,,
960,7.472839,0.26228842,2.4615384615384617,3.998996317686358,0.010100841522216797,11.389084100723267,,
1008,7.8046455,0.26619467,2.5846153846153848,3.9987852103619805,0.00968480110168457,11.38621997833252,,
1056,7.800808,0.2775065,2.707692307692308,3.998553975292731,0.009814739227294922,11.382463693618774,,
1104,7.5517716,0.29418945,2.830769230769231,3.9983026148071463,0.009748220443725586,11.387537956237793,,
1152,7.677336,0.29703775,2.953846153846154,3.9980311314364214,0.009675264358520508,11.381081342697144,,
1200,7.9452286,0.29736328,3.076923076923077,3.997739527914395,0.01104116439819336,11.378077745437622,,
1248,7.402102,0.31201172,3.2,3.997427807177509,0.010125160217285156,11.380774021148682,,
1296,8.106474,0.3096517,3.3230769230769233,3.997095972364785,0.011019706726074219,11.379960298538208,,
1344,7.989063,0.3154297,3.4461538461538463,3.9967440268178,0.010091781616210938,11.378375768661499,,
1392,8.061341,0.32307944,3.5692307692307694,3.9963719740806405,0.010211467742919922,11.380108118057251,,
1440,8.192344,0.33170572,3.6923076923076925,3.9959798178998738,0.009917974472045898,11.488172054290771,,
1488,8.107993,0.34399414,3.8153846153846156,3.9955675622245073,0.00971221923828125,11.358514308929443,,
1536,8.036244,0.33528647,3.9384615384615387,3.9951352112059504,0.01006770133972168,11.338865518569946,,
1584,8.227571,0.3582357,4.061538461538461,3.9946827691979734,0.011459112167358398,11.33875298500061,,
1632,8.080112,0.35229492,4.184615384615385,3.994210240756665,0.01008152961730957,11.337015390396118,,
1680,8.110235,0.35392252,4.3076923076923075,3.9937176306403788,0.011266231536865234,11.397616147994995,,
1728,8.612609,0.36140952,4.430769230769231,3.993204943809693,0.010465383529663086,11.449082851409912,,
1776,8.819158,0.3487142,4.553846153846154,3.9926721854273617,0.010854005813598633,11.44911503791809,,
1824,8.534293,0.36417642,4.676923076923077,3.992119360858251,0.010646343231201172,11.440721273422241,,
1872,8.43879,0.36930338,4.8,3.991546475669301,0.011128902435302734,11.606614112854004,,
1920,8.589755,0.3635254,4.923076923076923,3.9909535356294583,0.01173543930053711,11.440373659133911,,
1968,8.287503,0.37198892,5.046153846153846,3.9903405467096245,0.01302194595336914,11.523717641830444,,
2016,8.465483,0.3889974,5.1692307692307695,3.9897075150825905,0.01152181625366211,11.620865821838379,,
2064,8.638104,0.3856608,5.292307692307692,3.9890544471229767,0.010672330856323242,11.67057991027832,,
2112,8.556039,0.39876303,5.415384615384616,3.988381349407167,0.012423992156982422,11.565205574035645,,
2160,8.682698,0.39396158,5.538461538461538,3.9876882287132513,0.01024484634399414,11.345829963684082,,
2208,8.423957,0.40942383,5.661538461538462,3.9869750920209506,0.011320829391479492,11.472642183303833,,
2256,8.785888,0.4070638,5.7846153846153845,3.986241946511536,0.013054132461547852,12.62380576133728,,
2304,8.646369,0.3985189,5.907692307692308,3.9854887995677806,0.010576486587524414,11.505764722824097,,
2352,8.523498,0.41235352,6.030769230769231,3.984715658773862,0.011965274810791016,11.315281391143799,,
2400,9.326435,0.4073893,6.153846153846154,3.983922531915304,0.010158061981201172,11.317222833633423,,
2448,8.957059,0.40950522,6.276923076923077,3.983109426978883,0.010210037231445312,11.319171905517578,,
2496,9.304334,0.41674805,6.4,3.9822763521525566,0.010538578033447266,11.330401182174683,,
2544,8.7797785,0.40852866,6.523076923076923,3.981423315825377,0.010265827178955078,11.32330870628357,,
2592,8.537178,0.4217936,6.6461538461538465,3.9805503265874105,0.010155200958251953,11.316311836242676,,
2640,8.809444,0.41845703,6.769230769230769,3.9796573932296515,0.010254144668579102,11.323949337005615,,
2688,9.276721,0.41805014,6.892307692307693,3.97874452474393,0.010503053665161133,11.318125009536743,,
2736,9.478179,0.41666666,7.015384615384615,3.977811730322818,0.011734724044799805,11.315844535827637,,
2784,9.212413,0.43513998,7.138461538461539,3.9768590193595466,0.010220050811767578,11.325796127319336,,
2832,9.165221,0.4388021,7.2615384615384615,3.975886401447905,0.010385274887084961,11.316191911697388,,
2880,9.254069,0.43416342,7.384615384615385,3.974893886382148,0.010847091674804688,11.315322160720825,,
2928,8.582064,0.43286133,7.507692307692308,3.9738814841568857,0.010276079177856445,11.319089651107788,,
2976,9.434313,0.43937173,7.630769230769231,3.972849204967002,0.010121822357177734,11.316311120986938,,
3024,9.282632,0.4202474,7.753846153846154,3.971797059207532,0.010257244110107422,11.31112265586853,,
3072,9.182246,0.4375,7.876923076923077,3.9707250574735764,0.009956598281860352,11.319531679153442,,
3120,9.17535,0.4427897,8.0,3.969633210560176,0.011346101760864258,11.320619106292725,,
3168,9.524528,0.43774414,8.123076923076923,3.968521529462221,0.009996414184570312,11.332223415374756,,
3216,10.251125,0.44067383,8.246153846153845,3.9673900253743253,0.009859323501586914,11.313434839248657,,
3264,9.631344,0.43351236,8.36923076923077,3.9662387096907237,0.009862422943115234,11.318097114562988,,
3312,9.235648,0.45589194,8.492307692307692,3.965067594005154,0.009861230850219727,11.319373607635498,,
