t,train_loss,train_acc,train_epoch,lr,data_time,it_time,test_loss,test_acc
100,0.8784516,0.72819656,2.0408163265306123,0.09987625,0.28110527992248535,34.32233762741089,,
200,0.59813666,0.79897696,4.081632653061225,0.09975125000000001,0.07801580429077148,31.011986255645752,,
300,0.55091643,0.8150478,6.122448979591836,0.09962625000000001,0.07767343521118164,31.02030324935913,,
400,0.5261423,0.8221719,8.16326530612245,0.09950125,0.0777590274810791,31.012534856796265,,
500,0.50718033,0.8288649,10.204081632653061,0.09937625,0.07652497291564941,31.020642280578613,,
600,0.49380916,0.831932,12.244897959183673,0.09925125000000001,0.07719993591308594,31.08646535873413,,
700,0.48123524,0.83636135,14.285714285714286,0.09912625000000001,0.07725763320922852,31.79446315765381,,
800,0.4750447,0.83892876,16.3265306122449,0.09900125,0.07506418228149414,30.904759883880615,,
900,0.46657467,0.84114337,18.367346938775512,0.09887625,0.07478189468383789,30.903878927230835,,
1000,0.45960832,0.84442616,20.408163265306122,0.09875125000000001,0.07559537887573242,35.33016228675842,0.4522364,0.8415
1100,0.4527482,0.84607244,22.448979591836736,0.09862625000000001,0.07453727722167969,30.902302742004395,,
1200,0.44800767,0.846827,24.489795918367346,0.09850125,0.07472395896911621,30.891263484954834,,
1300,0.44464046,0.8481303,26.53061224489796,0.09837625,0.07477331161499023,31.250556468963623,,
1400,0.44151282,0.8483949,28.571428571428573,0.09825125000000001,0.07756209373474121,31.46564030647278,,
1500,0.43905434,0.8504331,30.612244897959183,0.09812625000000001,0.0764012336730957,31.371727466583252,,
1600,0.43206212,0.85135424,32.6530612244898,0.09800125,0.07524490356445312,30.928364038467407,,
1700,0.43146238,0.85284376,34.69387755102041,0.09787625,0.07499194145202637,30.899053812026978,,
1800,0.4266938,0.85477424,36.734693877551024,0.09775125000000001,0.07452559471130371,30.90909433364868,,
1900,0.42688838,0.8540197,38.775510204081634,0.09762625000000001,0.07506084442138672,30.912458181381226,,
2000,0.4233181,0.854882,40.816326530612244,0.09750125,0.07530736923217773,34.01233911514282,0.42133817,0.8528
2100,0.42221776,0.85484284,42.857142857142854,0.09737625,0.07532668113708496,31.03335666656494,,
2200,0.4168674,0.8566067,44.89795918367347,0.09725125000000001,0.07511186599731445,30.92147994041443,,
2300,0.4176998,0.85639113,46.93877551020408,0.09712625000000001,0.0766606330871582,31.113452911376953,,
2400,0.41434678,0.85864496,48.97959183673469,0.09700125,0.0747978687286377,30.903223752975464,,
2500,0.4118782,0.8584498,51.02040816326531,0.09687625,0.07438302040100098,30.844025135040283,,
2600,0.412372,0.85870373,53.06122448979592,0.09675125000000001,0.07460927963256836,30.922115325927734,,
2700,0.4091304,0.85990906,55.10204081632653,0.09662625000000001,0.07481527328491211,30.90489912033081,,
2800,0.40785256,0.86015403,57.142857142857146,0.09650125000000001,0.07420539855957031,30.91586184501648,,
2900,0.40748987,0.8598503,59.183673469387756,0.09637625,0.07448911666870117,30.905554056167603,,
3000,0.40331447,0.86207473,61.224489795918366,0.09625125000000001,0.07469677925109863,34.0233428478241,0.4078165,0.8579
3100,0.40535378,0.86154556,63.265306122448976,0.09612625000000001,0.07536983489990234,30.907899141311646,,
